,Ticker,Shares
1,BRK-B,55.245949214109565
2,CPB,1076.593646661534
3,LMT,123.52902431721216
4,ROP,29.658760689511187
5,PG,141.90281328632324
6,KO,666.2887162041039
7,ED,362.9475988087705
8,CVS,322.2900896509125
9,AAPL,62.93869562113046
10,GRMN,134.46205479422844
11,IBM,103.95268560519307
12,UNH,87.4486307627253
13,TSN,173.67598013268645
14,NOC,26.791446618283334
15,GILD,176.68776888041293
16,VZ,582.7085451556627
17,TXN,62.407065999292385
18,PM,119.05135177062157
19,SO,186.3701388856892
20,CSCO,240.38150654308856
21,INFY,658.9509226897306
22,CMS,164.72528081491984
23,ACN,36.46952006412375
24,REGN,12.45066432414046
25,VMW,80.97830307252376
